nepali_date,english_date,day,specialday,holiday,event
11/19/2072,3/2/2016,wed,FALSE,FALSE,no event
11/20/2072,3/3/2016,thu,FALSE,FALSE,no event
11/21/2072,3/4/2016,fri,FALSE,FALSE,no event
11/22/2072,3/5/2016,sat,FALSE,TRUE,no event
11/23/2072,3/6/2016,sun,FALSE,FALSE,no event
11/24/2072,3/7/2016,mon,FALSE,TRUE,shivaratri
11/25/2072,3/8/2016,tue,FALSE,TRUE,no event
11/26/2072,3/9/2016,wed,FALSE,TRUE,no event
11/27/2072,3/10/2016,thu,FALSE,FALSE,no event
11/28/2072,3/11/2016,fri,FALSE,FALSE,no event
11/29/2072,3/12/2016,sat,FALSE,TRUE,no event
12/1/2072,3/14/2016,mon,TRUE,FALSE,no event
12/2/2072,3/15/2016,tue,TRUE,FALSE,no event
12/3/2072,3/16/2016,wed,FALSE,FALSE,no event
12/4/2072,3/17/2016,thu,FALSE,FALSE,no event
12/5/2072,3/18/2016,fri,FALSE,FALSE,no event
12/6/2072,3/19/2016,sat,FALSE,TRUE,no event
12/7/2072,3/20/2016,sun,FALSE,FALSE,no event
12/8/2072,3/21/2016,mon,TRUE,FALSE,no event
12/9/2072,3/22/2016,tue,FALSE,TRUE,holi
12/10/2072,3/23/2016,wed,FALSE,TRUE,holi
12/11/2072,3/24/2016,thu,TRUE,FALSE,no event
12/12/2072,3/25/2016,fri,TRUE,FALSE,no event
12/13/2072,3/26/2016,sat,FALSE,TRUE,no event
12/14/2072,3/27/2016,sun,TRUE,FALSE,no event
12/15/2072,3/28/2016,mon,FALSE,FALSE,no event
12/16/2072,3/29/2016,tue,FALSE,FALSE,no event
12/17/2072,3/30/2016,wed,FALSE,FALSE,no event
12/18/2072,3/31/2016,thu,FALSE,FALSE,no event
12/19/2072,4/1/2016,fri,TRUE,FALSE,no event
12/20/2072,4/2/2016,sat,FALSE,TRUE,no event
12/21/2072,4/3/2016,sun,FALSE,FALSE,no event
12/22/2072,4/4/2016,mon,FALSE,FALSE,no event
12/23/2072,4/5/2016,tue,FALSE,FALSE,no event
12/24/2072,4/6/2016,wed,FALSE,FALSE,no event
12/25/2072,4/7/2016,thu,FALSE,FALSE,no event
12/26/2072,4/8/2016,fri,FALSE,FALSE,no event
12/27/2072,4/9/2016,sat,FALSE,TRUE,no event
12/28/2072,4/10/2016,sun,TRUE,FALSE,no event
12/29/2072,4/11/2016,mon,FALSE,FALSE,no event
12/30/2072,4/12/2016,tue,FALSE,FALSE,no event
